song_title,Streams,Daily
*Proud of You (feat. Lil Uzi Vert & Yung Kayo),35458990,6180
Urgency (feat. Syd),35076193,3612
*Heavy (with Nigo),34841832,3775
*Heart In Pieces,34513914,20306
Right Now,34364681,8736
*NAVUZIMETRO#PT2,34098563,3070
*Million Dollar Play,32504976,7527
"*Like This (feat. Lil Uzi Vert, Destroy Lonely)",32197245,13731
Red Moon,31633746,12003
*Multiple Flows (with Lil Uzi Vert),30131861,12868
*bank account (with Lil Uzi Vert),30002387,6324
*Teenage Dream 2 (with Lil Uzi Vert),29750588,3138
Zoom (Bonus Track),29721948,9880
Diamonds All on My Wrist,29436968,7429
Super Saiyan,29176359,3730
Money Mitch,29150622,3387
*Wrong (feat. Lil Uzi Vert),28362473,2179
Crush Em,28092286,6872
"*bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)",27212256,3449
"Mama, Iâm Sorry",26122700,7700
All My Chains,25665145,3127
*Show U Off (feat. Lil Uzi Vert),25606230,1418
*Extendo (feat. Lil Uzi Vert),25419435,3544
Light Year (Practice),25241345,14105
*Hellcat Kenny (feat. Lil Uzi Vert),24999965,7950
*Baby Sasuke,24721362,7788
*3G (feat. Lil Uzi Vert),24417688,9137
*DONNY DARKO (FEAT. LIL UZI VERT),24412085,14791
*Runner (feat. A$AP Ant & Lil Uzi Vert),24217673,1337
*Everything,24002670,2747
*Marni On Me,23978338,3920
*Plastic,23581225,3628
*It's A Slime (feat. Lil Uzi Vert),23410868,2220
Nakamura,23172944,5034
Yamborghini Dream (feat. Young Thug),22586290,3276
F.F.,22561868,7182
*Up (feat. Lil Uzi Vert),22432516,1740
*Fuck That Check Up (feat. Lil Uzi Vert),22190811,1047
*420 in London,21790280,1547
Amped,21532715,4680
*Sleeping On The Floor,21076698,3600
Fire Alarm (feat. Snow Strippers),21004638,7274
*Moment of Clarity,20849869,5146
I KNOW,20799770,4137
*LOVE HURTS,20730921,12475
Banned from TV,20658625,3090
All Alone,20577472,5554
Safe House,20512765,3551
*Potential (feat. Lil Uzi Vert & Young Dolph),20444652,930
*Dead Shot (with Lil Uzi Vert),20315265,4095
Skir Skirr,19816715,2310
Died and Came Back,19529235,5299
*Diamond Choker (feat. Lil Uzi Vert),19315346,989
*Rich Nigga (feat. Lil Uzi Vert),19254060,4499
*At the Hotel (feat. Lil Uzi Vert & Young Jordan),18914063,5605
*I Donât Wanna Break Up,18767293,2840
*Status (feat. Lil Uzi Vert),18614987,2007
*I'm Not Human,18255911,4079
Ballin,18184708,3873
*Bought A Bad Bitch,18046006,2894
*Blood Moon (feat. Lil Uzi Vert),17857559,2907
*miles (feat. Lil Uzi Vert),17833034,7771
GLOCK IN MY PURSE,17497627,4780
CIGARETTE,17490854,4861
Days Come and Go,16799187,5198
SPACE CADET,16642062,2847
Of Course (Bonus Track),16472690,6795
*Bankroll,16390420,4419
*She Never Been To Pluto,16356774,3454
"*SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",16341974,2356
*Off Dat,16183119,3062
Space High,15986754,7704
That Fiya,15806994,4144
*Die For a Man (feat. Lil Uzi Vert),14945990,1304
Rehab,14272671,4156
*Because of You,14246024,3408
Belly,14211933,1977
*Pudgy (with Lil Uzi Vert),14119946,3407
*Interstellar (with Lil Uzi Vert),13896503,4657
*Sossboy 2 (feat. Lil Uzi Vert),13541339,2040
"*High School Reunion, Prom [Feat. Lil Uzi Vert]",13482141,2340
Lullaby,12998201,1635
"*Motto (feat. Lil Uzi Vert, G-Eazy & Mally Mall)",12538194,692
*LOW KEY (feat. Lil Uzi Vert),12388591,697
HITTIN MY SHOULDER,12353226,2506
Conceited,12272040,8674
Count Dem Rolls (feat. Uzi Gang),12200679,896
NFL,12124734,3078
CS,12095989,2761
*Zambamafoo,12073558,823
Mr Chow,12053727,6230
FLEX UP,12002678,2622
We Good,11582096,4898
*Smoke My Dope (with Steve Aoki & Lil Uzi Vert),11488857,396
*Count A Million (feat. Lil Uzi Vert),11353510,960
*Never Bend (feat. Lil Uzi Vert) - Remix,11185954,1663
*Bust a Move,11102715,3878
Not An Option,11062250,7417
Shardai (Bonus Track),10939729,2965
*My Legacy,10901212,2209
Pump Up The Jam,10526344,1332
*Heartless - Vapor Wave Remix,10482292,616
PerkySex,10461962,5881
*Strong,10217858,882
*Stay Awake,10119122,2969
*Been Ballin (feat. Lil Uzi Vert),10026045,382
*Like This,9703098,1071
*Right Or Wrong (feat. Lil Uzi Vert),9604348,548
Regular,9509092,17366
*YNW Home Invasion (feat. Lil Uzi Vert),9443712,1794
Chips and Dip,9342239,6410
ISSA HIT,9235460,1847
Relevant,8972404,17400
Lyft Em Up,8713722,5237
Chanel Boy,8681778,11975
*Let It Blow (feat. Lil Uzi Vert),8681277,1317
*spend the money (feat. Lil Uzi Vert),7981197,1525
*Everything (Remix),7848153,344
*Uzi Gang (feat. Lil Uzi Vert & Marty Baller),7592820,256
Meteor Man,7504029,3139
Goddard Song,7087536,3973
Watch This (ARIZONATEARS Pluggnb Remix) - Slowed Down Version,7006311,16944
The Rush (feat. Big Time Rush),6551302,2539
Paars In The Mars,6401236,2863
*Big Racks (feat. Lil Uzi Vert),6150227,2965
*Bussin (feat. Lil Uzi Vert),5641862,701
*Yellow Tape (feat. Lil Uzi Vert),5463293,722
*GOMD (feat. Lil Uzi Vert) - Remix,5332025,2043
She Stank,5320012,2302
*Ransom,4873815,815
*Throw In The Towel (with Lil Uzi Vert),4621724,1075
*Super Freak (feat. Lil Uzi Vert),4564910,350
Black Hole,4463986,1910
*FLEXIN N' FLASHIN - Remix,4420089,982
*Next Up (feat. Lil Uzi Vert & Gucci Mane),4360349,1774
*Die For a Man (feat. Lil Uzi Vert) - Galantis Remix,4043558,410
*Free Lighter (feat. Lil Uzi Vert & Chief Keef),3918274,508
*Free Game,3545854,891
*Big Money - C4 Remix,1955077,83
*I Got It (feat. Lil Uzi Vert),1858678,388
*Fashion (feat. Lil Uzi Vert),1842984,892
*Pussy and Drank (with Lil Uzi Vert),1663185,665
Early 20 Rager,1260479,143
*Two Tone (ft Lil Uzi Vert),1242704,141
*Endless Fashion (with Nicki Minaj) - sped up version,1028003,285
*We Rollin (feat. Lil Uzi Vert & Rome Fortune),921012,97
*Endless Fashion (with Nicki Minaj) - sped up version,860885,185
*Endless Fashion (with Nicki Minaj) - slowed down version,700577,104
*Simply (feat. Lil Uzi Vert),647797,81
Nakamura,532163,144
*Endless Fashion (with Nicki Minaj) - slowed down version,398803,237
*Free Game - Sped Up,216967,11
*Free Game - Chopped Not Slopped,179430,18
Fire Alarm (feat. Snow Strippers),130558,99
*Ransom (feat. Lil Uzi Vert) [Fast],100343,22
